"Series Code","Topic","Indicator Name","Short definition","Long definition","Unit of measure","Periodicity","Base Period","Other notes","Aggregation method","Limitations and exceptions","Notes from original source","General comments","Source","Statistical concept and methodology","Development relevance","Related source links","Other web links","Related indicators","License Type",
"IC.CRED.ACC.CRD.RK","","Rank: Getting credit  (DB19 methodology) (1=most business-friendly regulations)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/getting-credit","","","",
"IC.CRED.ACC.DPTH.CISI.XD.06.DB0514","","Getting credit: Depth of credit information index (0-6) (DB05-14 methodology)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/getting-credit","","","",
"IC.CRED.ACC.DPTH.CISI.XD.06.DB0514.DFRN","","Getting credit: Depth of credit information index (0-6) (DB05-14 methodology) - Score","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/getting-credit","","","",
"IC.CRED.ACC.DPTH.CISI.XD.08.DB1519","","Getting credit: Depth of credit information index (0-8) (DB15-19 methodology)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/getting-credit","","","",
"IC.CRED.ACC.DPTH.CISI.XD.08.DB1519.DFRN","","Getting credit: Depth of credit information index (0-8) (DB15-19 methodology) - Score","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/getting-credit","","","",
"IC.CRED.ACC.LGL.RGHT.010.XD.DB0514.DFRN","","Getting credit: Strength of legal rights index (0-10) (DB05-14 methodology) - Score","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/getting-credit","","","",
"IC.CRED.ACC.LGL.RGHT.012.XD.DB1519.DFRN","","Getting credit: Strength of legal rights index (0-12) (DB15-19 methodology) - Score","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/getting-credit","","","",
"IC.CRED.ACC.LGL.RGHT.XD.010.DB0514","","Getting credit: Strength of legal rights index (0-10) (DB05-14 methodology)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/getting-credit","","","",
"IC.CRED.ACC.LGL.RGHT.XD.012.DB1519","","Getting credit: Strength of legal rights index (0-12) (DB15-19 methodology)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/getting-credit","","","",
"IC.CRED.ACC.PRVT.CRD.ZS","","Getting credit: Credit bureau coverage (% of adults)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/getting-credit","","","",
"IC.CRED.ACC.PUBL.CRD.REG.COVR.ZS","","Getting credit: Credit registry coverage (% of adults)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/getting-credit","","","",
"IC.DCP.BQC.XD.015.DB1619","","Dealing with construction permits: Building quality control index (0-15) (DB16-19 methodology)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/dealing-with-construction-permits","","","",
"IC.ELC.ACES.DFRN.DB1015","","Getting electricity (DB10-15 methodology) - Score","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/getting-electricity","","","",
"IC.ELC.ACES.DFRN.DB1619","","Getting electricity (DB16-19 methodology) - Score","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/getting-electricity","","","",
"IC.ELC.ACES.RK DB19","","Rank: Getting electricity (1=most business-friendly regulations) (DB19 methodology)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/getting-electricity","","","",
"IC.ELC.ACS.COST","","Getting electricity: Cost to get electricity (% of income per capita)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/getting-electricity","","","",
"IC.ELC.ACS.COST.DFRN","","Getting electricity: Cost to get electricity (% of income per capita) - Score","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/getting-electricity","","","",
"IC.ELC.COMM.TRFF.CG.01.DB1619","","Getting electricity: Communication of tariffs and tariff changes (0-1) (DB16-19 methodology)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/getting-electricity","","","",
"IC.ELC.LMTG.OUTG.01.DB1619","","Getting electricity: Financial deterrents aimed at limiting outages (0-1) (DB16-19 methodology)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/getting-electricity","","","",
"IC.ELC.MONT.OUTG.01.DB1619","","Getting electricity: Mechanisms for monitoring outages (0-1) (DB16-19 methodology)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/getting-electricity","","","",
"IC.ELC.OUTG.FREQ.DURS.03.DB1619","","Getting electricity: Total duration and frequency of outages per customer a year (0-3) (DB16-19 methodology)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/getting-electricity","","","",
"IC.ELC.OUTG.MN.DB1619","","Getting electricity: Minimum outage time (in minutes)  (DB16-19 methodology)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/getting-electricity","","","",
"IC.ELC.PRI.KH.DB1619","","Getting electricity: Price of electricity (US cents per kWh) (DB16-19 methodology)","","","","","","","","","","","","","","0","","","",
"IC.ELC.PROC.NO","","Getting electricity: Procedures (number)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/getting-electricity","","","",
"IC.ELC.PROC.NO.DFRN","","Getting electricity: Procedures (number) - Score","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/getting-electricity","","","",
"IC.ELC.REGU.MONT.01.DB1619","","Getting electricity: Regulatory monitoring (0-1) (DB16-19 methodology)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/getting-electricity","","","",
"IC.ELC.RSTOR.01.DB1619","","Getting electricity: Mechanisms for restoring service (0-1) (DB16-19 methodology)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/getting-electricity","","","",
"IC.ELC.RSTT.XD.08.DB1619","","Getting electricity: Reliability of supply and transparency of tariff index (0-8) (DB16-19 methodology)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/getting-electricity","","","",
"IC.ELC.RSTT.XD.08.DFRN.DB1619","","Getting electricity: Reliability of supply and transparency of tariff index (0-8) (DB16-19 methodology) - Score","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/getting-electricity","","","",
"IC.ELC.SAID.XD.DB1619","","Getting electricity: System average interruption duration index (SAIDI) (DB16-19 methodology)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/getting-electricity","","","",
"IC.ELC.SAIF.XD.DB1619","","Getting electricity: System average interruption frequency index (SAIFI) (DB16-19 methodology)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/getting-electricity","","","",
"IC.ELC.TIME","","Getting electricity: Time (days)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/getting-electricity","","","",
